time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-04T14:09:35.680Z,33.489,-116.8028333,3.68,0.26,ml,13,143,0.0234,0.13,ci,ci38349120,2018-11-04T15:46:39.303Z,"8km NE of Aguanga, CA",earthquake,0.4,0.72,0.077,7,reviewed,ci,ci
2018-11-04T14:03:08.592Z,58.7306,-153.7275,0,2.2,ml,,,,0.73,ak,ak20323864,2018-11-04T14:07:23.797Z,"126km NNW of Kodiak Station, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-04T14:01:48.000Z,33.5105,-116.7975,2.81,0.37,ml,22,45,0.003025,0.12,ci,ci38349112,2018-11-04T15:47:29.180Z,"10km NE of Aguanga, CA",earthquake,0.23,0.66,0.086,9,reviewed,ci,ci
2018-11-04T13:38:21.115Z,60.9086,-152.5063,180.1,2.4,ml,,,,0.52,ak,ak20323861,2018-11-04T13:41:47.594Z,"48km NNE of Redoubt Volcano, Alaska",earthquake,,4.3,,,automatic,ak,ak
2018-11-04T13:27:32.280Z,-18.804,-177.447,554.56,4.5,mb,,94,4.403,1.37,us,us2000i6qx,2018-11-04T14:40:20.040Z,"242km NNE of Ndoi Island, Fiji",earthquake,15.5,6.1,0.093,34,reviewed,us,us
2018-11-04T13:22:28.080Z,33.6338333,-116.6908333,12.62,0.52,ml,24,94,0.07308,0.13,ci,ci38349088,2018-11-04T15:47:32.080Z,"9km N of Anza, CA",earthquake,0.26,0.4,0.115,13,reviewed,ci,ci
2018-11-04T13:08:27.570Z,36.5021667,-120.8868332,12.99,1.37,md,7,204,0.4137,0.1,nc,nc73106491,2018-11-04T14:20:03.135Z,"21km WNW of New Idria, CA",earthquake,11.24,1.41,,1,automatic,nc,nc
2018-11-04T13:08:27.240Z,41.84,141.4744,104.88,4.7,mb,,106,1.094,0.53,us,us2000i6qk,2018-11-04T14:24:19.981Z,"61km E of Hakodate, Japan",earthquake,8.2,8,0.034,268,reviewed,us,us
2018-11-04T12:59:15.980Z,19.0009995,-155.4341736,31.54,2.16,md,47,221,0.2222,0.18,hv,hv70673446,2018-11-04T13:02:43.010Z,"23km SSE of Pahala, Hawaii",earthquake,0.86,1.11,0.13,7,automatic,hv,hv
2018-11-04T12:51:12.992Z,65.6901,-154.9249,0,1.8,ml,,,,0.91,ak,ak20323478,2018-11-04T12:56:09.521Z,"109km NNE of Ruby, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-04T12:44:17.060Z,33.3411667,-116.415,11.95,0.75,ml,29,148,0.07279,0.17,ci,ci38349064,2018-11-04T15:47:08.728Z,"10km NNW of Borrego Springs, CA",earthquake,0.38,0.68,0.189,18,reviewed,ci,ci
2018-11-04T12:33:43.980Z,36.0296667,-117.7781667,1.24,0.84,ml,13,68,0.01137,0.12,ci,ci38349056,2018-11-04T12:37:19.210Z,"15km E of Coso Junction, CA",earthquake,0.26,0.24,0.168,14,automatic,ci,ci
2018-11-04T12:17:39.210Z,32.5488333,-115.6616667,10.85,1.54,ml,19,134,0.2178,0.24,ci,ci38349048,2018-11-04T12:21:37.110Z,"8km WSW of Progreso, B.C., MX",earthquake,0.64,1.52,0.221,23,automatic,ci,ci
2018-11-04T12:12:21.670Z,33.6293333,-116.6826667,13.22,0.74,ml,26,91,0.07414,0.12,ci,ci38349040,2018-11-04T15:48:36.520Z,"8km N of Anza, CA",earthquake,0.22,0.38,0.163,22,reviewed,ci,ci
2018-11-04T11:59:19.060Z,33.449,-116.6325,5.94,0.05,ml,11,107,0.05127,0.15,ci,ci38349032,2018-11-04T12:03:04.786Z,"12km SSE of Anza, CA",earthquake,0.45,0.7,0.15,5,automatic,ci,ci
2018-11-04T11:54:14.360Z,-15.3409,-74.2506,70.47,4.9,mb,,143,4.178,0.71,us,us2000i6q7,2018-11-04T17:42:51.959Z,"40km ENE of Acari, Peru",earthquake,9,7.5,0.056,99,reviewed,us,us
2018-11-04T11:51:50.780Z,36.6608315,-121.3033371,-0.37,1.59,md,14,177,0.05069,0.17,nc,nc73106441,2018-11-04T13:25:02.817Z,"14km S of Tres Pinos, CA",earthquake,0.62,4.34,0.24,15,automatic,nc,nc
2018-11-04T11:49:16.640Z,33.4473333,-116.4393333,13.65,0.41,ml,19,160,0.1339,0.12,ci,ci38349024,2018-11-04T15:47:59.736Z,"22km NNW of Borrego Springs, CA",earthquake,0.35,0.76,0.113,9,reviewed,ci,ci
2018-11-04T11:48:30.470Z,36.6715012,-121.31633,3.08,1.23,md,9,191,0.1012,0.08,nc,nc73106436,2018-11-04T12:58:02.653Z,"13km S of Tres Pinos, CA",earthquake,1.02,9.59,0.12,5,automatic,nc,nc
2018-11-04T11:35:49.370Z,36.5458336,-121.0751648,3.11,1.3,md,9,148,0.0434,0.06,nc,nc73106426,2018-11-04T12:30:03.487Z,"6km ENE of Pinnacles, CA",earthquake,0.67,1.27,0.06,7,automatic,nc,nc
2018-11-04T11:28:12.080Z,33.6676667,-116.7111667,13.16,0.47,ml,27,91,0.04346,0.12,ci,ci38349016,2018-11-04T15:48:44.741Z,"8km S of Idyllwild, CA",earthquake,0.26,0.45,0.116,14,reviewed,ci,ci
